Text,signal_strength,signal_norm,semantic_function,signal_combined
"Не хочу тебя пугать, дорогой, но ты сейчас увидел пример пятимерной координаты.
Как ты, мм? Держишься?",0.798,0.2857142857142865,юмор / ирония / сарказм,0.2857142857142865
"Ну, вот видишь. Пятое измерение открыли, и ничего, нормально. 
(А Лелик, между прочим, оперирует в 12 228 мерном. И не жалуется.)",0.786,0.14285714285714235,юмор / ирония / сарказм,0.14285714285714235
"Так. Теперь дальше:
У каждого токена есть этот самый вектор ебического количества измерений. Это называется векторизация токенов.",0.828,0.6428571428571423,раскрытие темы,0.9642857142857135
"Теперь соберись, будет больно:
Во-первых, у каждого токена не просто есть свой вектор в этом многомерном пространстве — то бишь эмбединг. Он ещё и предварительный, гаврюша по ходу прожевывания смыслов его уточняет.
Во-вторых, у него ещё может быть дополнительный вектор, указывающий, где этот токен находится в общей последовательности токенов в тексте. 
Ну а как иначе. Надо ж их как-то друг за дружкой правильно выстроить, да?",0.853,0.9404761904761898,раскрытие темы,1.4107142857142847
"Если ты ещё не ушёл (а я б так и сделал на твоём месте, честно говоря) — это ещё не всё.",0.785,0.13095238095238138,юмор / ирония / сарказм,0.13095238095238138
"Этот самый эмбединг, то есть указатель, в последствии, когда гаврюша соображает, куда ты её послал, может быть не только у отдельного токена, а у любой смысловой единицы: у слова, абзаца и целого предложения.",0.83,0.6666666666666661,раскрытие темы,0.9999999999999991
"Понятно, что чем более крупная смысловая единица прицеплена к одному- единственному эмбедингу, тем этот указатель менее ценный.
— Дорогой, как тебе сегодняшний спектакль?
— Хуета.
Эмбединг как бы есть, но практического толку от него мало.",0.815,0.48809523809523725,пояснение на примере,0.6101190476190466
"Ну и кое-что надо уточнить: у каждой гаврюши своя размерность эмбедингов. 
Единая на всю модель. 
И в этом многомерном бульоне у нее внутри плавают все смыслы.",0.835,0.7261904761904763,раскрытие темы,1.0892857142857144
"Чем качественнее текст превращён в эти многомерные ёжики из указателей, тем точнее с ними можно дальше работать.",0.776,0.023809523809523725,ключевой тезис,0.03571428571428559
"Грубо (ох, простите меня, Лелик и Болик, наверно навру сейчас с три короба, но ладно), процесс ээээ.. укладки смысла фразы «закрыл замок на замок, чтобы замок не замок» в гаврюшу выглядит так:",0.796,0.26190476190476275,раскрытие темы,0.3928571428571441
"Разбиение на токены, векторизация этих токенов, добавление векторов, в какой последовательности эти токены образуют слова, превращение слов в эмбединги.",0.85,0.9047619047619051,раскрытие темы,1.3571428571428577
"Причём современные гаврюши не просто каждому «замок» дают один и тот же эмбединг, а развешивают свой для каждого следующего «замок», исходя из контекста и семантики, прости господи.",0.822,0.5714285714285712,раскрытие темы,0.8571428571428568
"Лелик, например, внутри сам развешивает эти смыслы, согласно его представлении о прекрасном.. а вот если ты решил, как я, дурак, поиграться в построение своего кастомного Дживса, (по науке это называется RAG - Retrieval-Augmented Generation, то есть генерация смыслов, дополненных внешним источником.. твоим, то есть, источником.. эээ ладно, об этом отдельный текст надо писать..) короче если ты хочешь, чтобы модель понимала смысл не от фонаря, а на базе того, что ты ей подсунешь, то для поиска смыслов твой текст надо перед превращением в набор эмбедингов еще немного обработать.",0.817,0.511904761904761,раскрытие темы,0.7678571428571415
"И тут появляется ещё одно страшное слово: чанкинг. Чанк-инг.
(Для запоминания: как челюсти клацают: чанк-чанк-чанк, смысл режется на куски)",0.808,0.4047619047619051,раскрытие темы,0.6071428571428577
"То есть если ты хочешь, чтобы один «замок» отправился в сторону архитектуры, следующий — в штуки, которые не дают дверям распахнуться, третий — опять в архитектуру (причём он ещё и тот же самый «замок», что был вначале), а последний — в свойства влажности, нужно эту фразу порезать на чанки.
Чанк — слово, чанк — следующее слово. 
Тогда каждому «замок» можно развесить по своему эмбедингу.
Там всякие про это есть хитрости, как гаврюше, в отличие от китайского студента, понять, какому «замок» — куда. Но не суть.",0.837,0.75,пояснение на примере,0.9375
"Причём, это еще не всё: можно еще и всей фразе давать целый эмбединг и тогда всю фразу в целом можно обозначить общим смыслом (как в истории про спектакль) и отправить в «поговорки», а если можно навешивать больше одного эмбединга на единицу смысла (а кто запретит) — ещё и в анекдоты про китайцев, учащих русский язык, и в «часть текста Дана, который вынес мне сегодня мозг».",0.818,0.5238095238095237,раскрытие темы,0.7857142857142856
"Фух.
Всё, выдыхай, бобёр.
До следующей серии.",0.784,0.11904761904761862,юмор / ирония / сарказм,0.11904761904761862
"Я наврал, это в ней я уже навалю про семантическую географию (бляха, я теперь могу этим термином прямо между глаз засветить кому-то) и ещё разложу, почему она бывает линейная и нелинейная.
(Ага, в следующий раз будешь сразу скроллить на котиков.)",0.798,0.2857142857142865,смена темы,0.2857142857142865
